&a[0][0], 0x55e60cd61330
&b[0], 0x55e60cd61c30
&a[1][0], 0x55e60cd613c0
&b[0], 0x55e60cd61c30
&a[2][0], 0x55e60cd61450
&b[0], 0x55e60cd61c30
&a[3][0], 0x55e60cd614e0
&b[0], 0x55e60cd61c30
&a[4][0], 0x55e60cd61570
&b[0], 0x55e60cd61c30
&a[5][0], 0x55e60cd61600
&b[0], 0x55e60cd61c30
&a[6][0], 0x55e60cd61690
&b[0], 0x55e60cd61c30
&a[7][0], 0x55e60cd61720
&b[0], 0x55e60cd61c30
&a[8][0], 0x55e60cd617b0
&b[0], 0x55e60cd61c30
&a[9][0], 0x55e60cd61840
&b[0], 0x55e60cd61c30
&a[10][0], 0x55e60cd618d0
&b[0], 0x55e60cd61c30
&a[11][0], 0x55e60cd61960
&b[0], 0x55e60cd61c30
&a[12][0], 0x55e60cd619f0
&b[0], 0x55e60cd61c30
&a[13][0], 0x55e60cd61a80
&b[0], 0x55e60cd61c30
&a[14][0], 0x55e60cd61b10
&b[0], 0x55e60cd61c30
&a[15][0], 0x55e60cd61ba0
&b[0], 0x55e60cd61c30
&c[16], 0x55e60cd61d40
&a[0][1], 0x55e60cd61338
&b[1], 0x55e60cd61c38
&a[1][1], 0x55e60cd613c8
&b[1], 0x55e60cd61c38
&a[2][1], 0x55e60cd61458
&b[1], 0x55e60cd61c38
&a[3][1], 0x55e60cd614e8
&b[1], 0x55e60cd61c38
&a[4][1], 0x55e60cd61578
&b[1], 0x55e60cd61c38
&a[5][1], 0x55e60cd61608
&b[1], 0x55e60cd61c38
&a[6][1], 0x55e60cd61698
&b[1], 0x55e60cd61c38
&a[7][1], 0x55e60cd61728
&b[1], 0x55e60cd61c38
&a[8][1], 0x55e60cd617b8
&b[1], 0x55e60cd61c38
&a[9][1], 0x55e60cd61848
&b[1], 0x55e60cd61c38
&a[10][1], 0x55e60cd618d8
&b[1], 0x55e60cd61c38
&a[11][1], 0x55e60cd61968
&b[1], 0x55e60cd61c38
&a[12][1], 0x55e60cd619f8
&b[1], 0x55e60cd61c38
&a[13][1], 0x55e60cd61a88
&b[1], 0x55e60cd61c38
&a[14][1], 0x55e60cd61b18
&b[1], 0x55e60cd61c38
&a[15][1], 0x55e60cd61ba8
&b[1], 0x55e60cd61c38
&c[16], 0x55e60cd61d40
&a[0][2], 0x55e60cd61340
&b[2], 0x55e60cd61c40
&a[1][2], 0x55e60cd613d0
&b[2], 0x55e60cd61c40
&a[2][2], 0x55e60cd61460
&b[2], 0x55e60cd61c40
&a[3][2], 0x55e60cd614f0
&b[2], 0x55e60cd61c40
&a[4][2], 0x55e60cd61580
&b[2], 0x55e60cd61c40
&a[5][2], 0x55e60cd61610
&b[2], 0x55e60cd61c40
&a[6][2], 0x55e60cd616a0
&b[2], 0x55e60cd61c40
&a[7][2], 0x55e60cd61730
&b[2], 0x55e60cd61c40
&a[8][2], 0x55e60cd617c0
&b[2], 0x55e60cd61c40
&a[9][2], 0x55e60cd61850
&b[2], 0x55e60cd61c40
&a[10][2], 0x55e60cd618e0
&b[2], 0x55e60cd61c40
&a[11][2], 0x55e60cd61970
&b[2], 0x55e60cd61c40
&a[12][2], 0x55e60cd61a00
&b[2], 0x55e60cd61c40
&a[13][2], 0x55e60cd61a90
&b[2], 0x55e60cd61c40
&a[14][2], 0x55e60cd61b20
&b[2], 0x55e60cd61c40
&a[15][2], 0x55e60cd61bb0
&b[2], 0x55e60cd61c40
&c[16], 0x55e60cd61d40
&a[0][3], 0x55e60cd61348
&b[3], 0x55e60cd61c48
&a[1][3], 0x55e60cd613d8
&b[3], 0x55e60cd61c48
&a[2][3], 0x55e60cd61468
&b[3], 0x55e60cd61c48
&a[3][3], 0x55e60cd614f8
&b[3], 0x55e60cd61c48
&a[4][3], 0x55e60cd61588
&b[3], 0x55e60cd61c48
&a[5][3], 0x55e60cd61618
&b[3], 0x55e60cd61c48
&a[6][3], 0x55e60cd616a8
&b[3], 0x55e60cd61c48
&a[7][3], 0x55e60cd61738
&b[3], 0x55e60cd61c48
&a[8][3], 0x55e60cd617c8
&b[3], 0x55e60cd61c48
&a[9][3], 0x55e60cd61858
&b[3], 0x55e60cd61c48
&a[10][3], 0x55e60cd618e8
&b[3], 0x55e60cd61c48
&a[11][3], 0x55e60cd61978
&b[3], 0x55e60cd61c48
&a[12][3], 0x55e60cd61a08
&b[3], 0x55e60cd61c48
&a[13][3], 0x55e60cd61a98
&b[3], 0x55e60cd61c48
&a[14][3], 0x55e60cd61b28
&b[3], 0x55e60cd61c48
&a[15][3], 0x55e60cd61bb8
&b[3], 0x55e60cd61c48
&c[16], 0x55e60cd61d40
&a[0][4], 0x55e60cd61350
&b[4], 0x55e60cd61c50
&a[1][4], 0x55e60cd613e0
&b[4], 0x55e60cd61c50
&a[2][4], 0x55e60cd61470
&b[4], 0x55e60cd61c50
&a[3][4], 0x55e60cd61500
&b[4], 0x55e60cd61c50
&a[4][4], 0x55e60cd61590
&b[4], 0x55e60cd61c50
&a[5][4], 0x55e60cd61620
&b[4], 0x55e60cd61c50
&a[6][4], 0x55e60cd616b0
&b[4], 0x55e60cd61c50
&a[7][4], 0x55e60cd61740
&b[4], 0x55e60cd61c50
&a[8][4], 0x55e60cd617d0
&b[4], 0x55e60cd61c50
&a[9][4], 0x55e60cd61860
&b[4], 0x55e60cd61c50
&a[10][4], 0x55e60cd618f0
&b[4], 0x55e60cd61c50
&a[11][4], 0x55e60cd61980
&b[4], 0x55e60cd61c50
&a[12][4], 0x55e60cd61a10
&b[4], 0x55e60cd61c50
&a[13][4], 0x55e60cd61aa0
&b[4], 0x55e60cd61c50
&a[14][4], 0x55e60cd61b30
&b[4], 0x55e60cd61c50
&a[15][4], 0x55e60cd61bc0
&b[4], 0x55e60cd61c50
&c[16], 0x55e60cd61d40
&a[0][5], 0x55e60cd61358
&b[5], 0x55e60cd61c58
&a[1][5], 0x55e60cd613e8
&b[5], 0x55e60cd61c58
&a[2][5], 0x55e60cd61478
&b[5], 0x55e60cd61c58
&a[3][5], 0x55e60cd61508
&b[5], 0x55e60cd61c58
&a[4][5], 0x55e60cd61598
&b[5], 0x55e60cd61c58
&a[5][5], 0x55e60cd61628
&b[5], 0x55e60cd61c58
&a[6][5], 0x55e60cd616b8
&b[5], 0x55e60cd61c58
&a[7][5], 0x55e60cd61748
&b[5], 0x55e60cd61c58
&a[8][5], 0x55e60cd617d8
&b[5], 0x55e60cd61c58
&a[9][5], 0x55e60cd61868
&b[5], 0x55e60cd61c58
&a[10][5], 0x55e60cd618f8
&b[5], 0x55e60cd61c58
&a[11][5], 0x55e60cd61988
&b[5], 0x55e60cd61c58
&a[12][5], 0x55e60cd61a18
&b[5], 0x55e60cd61c58
&a[13][5], 0x55e60cd61aa8
&b[5], 0x55e60cd61c58
&a[14][5], 0x55e60cd61b38
&b[5], 0x55e60cd61c58
&a[15][5], 0x55e60cd61bc8
&b[5], 0x55e60cd61c58
&c[16], 0x55e60cd61d40
&a[0][6], 0x55e60cd61360
&b[6], 0x55e60cd61c60
&a[1][6], 0x55e60cd613f0
&b[6], 0x55e60cd61c60
&a[2][6], 0x55e60cd61480
&b[6], 0x55e60cd61c60
&a[3][6], 0x55e60cd61510
&b[6], 0x55e60cd61c60
&a[4][6], 0x55e60cd615a0
&b[6], 0x55e60cd61c60
&a[5][6], 0x55e60cd61630
&b[6], 0x55e60cd61c60
&a[6][6], 0x55e60cd616c0
&b[6], 0x55e60cd61c60
&a[7][6], 0x55e60cd61750
&b[6], 0x55e60cd61c60
&a[8][6], 0x55e60cd617e0
&b[6], 0x55e60cd61c60
&a[9][6], 0x55e60cd61870
&b[6], 0x55e60cd61c60
&a[10][6], 0x55e60cd61900
&b[6], 0x55e60cd61c60
&a[11][6], 0x55e60cd61990
&b[6], 0x55e60cd61c60
&a[12][6], 0x55e60cd61a20
&b[6], 0x55e60cd61c60
&a[13][6], 0x55e60cd61ab0
&b[6], 0x55e60cd61c60
&a[14][6], 0x55e60cd61b40
&b[6], 0x55e60cd61c60
&a[15][6], 0x55e60cd61bd0
&b[6], 0x55e60cd61c60
&c[16], 0x55e60cd61d40
&a[0][7], 0x55e60cd61368
&b[7], 0x55e60cd61c68
&a[1][7], 0x55e60cd613f8
&b[7], 0x55e60cd61c68
&a[2][7], 0x55e60cd61488
&b[7], 0x55e60cd61c68
&a[3][7], 0x55e60cd61518
&b[7], 0x55e60cd61c68
&a[4][7], 0x55e60cd615a8
&b[7], 0x55e60cd61c68
&a[5][7], 0x55e60cd61638
&b[7], 0x55e60cd61c68
&a[6][7], 0x55e60cd616c8
&b[7], 0x55e60cd61c68
&a[7][7], 0x55e60cd61758
&b[7], 0x55e60cd61c68
&a[8][7], 0x55e60cd617e8
&b[7], 0x55e60cd61c68
&a[9][7], 0x55e60cd61878
&b[7], 0x55e60cd61c68
&a[10][7], 0x55e60cd61908
&b[7], 0x55e60cd61c68
&a[11][7], 0x55e60cd61998
&b[7], 0x55e60cd61c68
&a[12][7], 0x55e60cd61a28
&b[7], 0x55e60cd61c68
&a[13][7], 0x55e60cd61ab8
&b[7], 0x55e60cd61c68
&a[14][7], 0x55e60cd61b48
&b[7], 0x55e60cd61c68
&a[15][7], 0x55e60cd61bd8
&b[7], 0x55e60cd61c68
&c[16], 0x55e60cd61d40
&a[0][8], 0x55e60cd61370
&b[8], 0x55e60cd61c70
&a[1][8], 0x55e60cd61400
&b[8], 0x55e60cd61c70
&a[2][8], 0x55e60cd61490
&b[8], 0x55e60cd61c70
&a[3][8], 0x55e60cd61520
&b[8], 0x55e60cd61c70
&a[4][8], 0x55e60cd615b0
&b[8], 0x55e60cd61c70
&a[5][8], 0x55e60cd61640
&b[8], 0x55e60cd61c70
&a[6][8], 0x55e60cd616d0
&b[8], 0x55e60cd61c70
&a[7][8], 0x55e60cd61760
&b[8], 0x55e60cd61c70
&a[8][8], 0x55e60cd617f0
&b[8], 0x55e60cd61c70
&a[9][8], 0x55e60cd61880
&b[8], 0x55e60cd61c70
&a[10][8], 0x55e60cd61910
&b[8], 0x55e60cd61c70
&a[11][8], 0x55e60cd619a0
&b[8], 0x55e60cd61c70
&a[12][8], 0x55e60cd61a30
&b[8], 0x55e60cd61c70
&a[13][8], 0x55e60cd61ac0
&b[8], 0x55e60cd61c70
&a[14][8], 0x55e60cd61b50
&b[8], 0x55e60cd61c70
&a[15][8], 0x55e60cd61be0
&b[8], 0x55e60cd61c70
&c[16], 0x55e60cd61d40
&a[0][9], 0x55e60cd61378
&b[9], 0x55e60cd61c78
&a[1][9], 0x55e60cd61408
&b[9], 0x55e60cd61c78
&a[2][9], 0x55e60cd61498
&b[9], 0x55e60cd61c78
&a[3][9], 0x55e60cd61528
&b[9], 0x55e60cd61c78
&a[4][9], 0x55e60cd615b8
&b[9], 0x55e60cd61c78
&a[5][9], 0x55e60cd61648
&b[9], 0x55e60cd61c78
&a[6][9], 0x55e60cd616d8
&b[9], 0x55e60cd61c78
&a[7][9], 0x55e60cd61768
&b[9], 0x55e60cd61c78
&a[8][9], 0x55e60cd617f8
&b[9], 0x55e60cd61c78
&a[9][9], 0x55e60cd61888
&b[9], 0x55e60cd61c78
&a[10][9], 0x55e60cd61918
&b[9], 0x55e60cd61c78
&a[11][9], 0x55e60cd619a8
&b[9], 0x55e60cd61c78
&a[12][9], 0x55e60cd61a38
&b[9], 0x55e60cd61c78
&a[13][9], 0x55e60cd61ac8
&b[9], 0x55e60cd61c78
&a[14][9], 0x55e60cd61b58
&b[9], 0x55e60cd61c78
&a[15][9], 0x55e60cd61be8
&b[9], 0x55e60cd61c78
&c[16], 0x55e60cd61d40
&a[0][10], 0x55e60cd61380
&b[10], 0x55e60cd61c80
&a[1][10], 0x55e60cd61410
&b[10], 0x55e60cd61c80
&a[2][10], 0x55e60cd614a0
&b[10], 0x55e60cd61c80
&a[3][10], 0x55e60cd61530
&b[10], 0x55e60cd61c80
&a[4][10], 0x55e60cd615c0
&b[10], 0x55e60cd61c80
&a[5][10], 0x55e60cd61650
&b[10], 0x55e60cd61c80
&a[6][10], 0x55e60cd616e0
&b[10], 0x55e60cd61c80
&a[7][10], 0x55e60cd61770
&b[10], 0x55e60cd61c80
&a[8][10], 0x55e60cd61800
&b[10], 0x55e60cd61c80
&a[9][10], 0x55e60cd61890
&b[10], 0x55e60cd61c80
&a[10][10], 0x55e60cd61920
&b[10], 0x55e60cd61c80
&a[11][10], 0x55e60cd619b0
&b[10], 0x55e60cd61c80
&a[12][10], 0x55e60cd61a40
&b[10], 0x55e60cd61c80
&a[13][10], 0x55e60cd61ad0
&b[10], 0x55e60cd61c80
&a[14][10], 0x55e60cd61b60
&b[10], 0x55e60cd61c80
&a[15][10], 0x55e60cd61bf0
&b[10], 0x55e60cd61c80
&c[16], 0x55e60cd61d40
&a[0][11], 0x55e60cd61388
&b[11], 0x55e60cd61c88
&a[1][11], 0x55e60cd61418
&b[11], 0x55e60cd61c88
&a[2][11], 0x55e60cd614a8
&b[11], 0x55e60cd61c88
&a[3][11], 0x55e60cd61538
&b[11], 0x55e60cd61c88
&a[4][11], 0x55e60cd615c8
&b[11], 0x55e60cd61c88
&a[5][11], 0x55e60cd61658
&b[11], 0x55e60cd61c88
&a[6][11], 0x55e60cd616e8
&b[11], 0x55e60cd61c88
&a[7][11], 0x55e60cd61778
&b[11], 0x55e60cd61c88
&a[8][11], 0x55e60cd61808
&b[11], 0x55e60cd61c88
&a[9][11], 0x55e60cd61898
&b[11], 0x55e60cd61c88
&a[10][11], 0x55e60cd61928
&b[11], 0x55e60cd61c88
&a[11][11], 0x55e60cd619b8
&b[11], 0x55e60cd61c88
&a[12][11], 0x55e60cd61a48
&b[11], 0x55e60cd61c88
&a[13][11], 0x55e60cd61ad8
&b[11], 0x55e60cd61c88
&a[14][11], 0x55e60cd61b68
&b[11], 0x55e60cd61c88
&a[15][11], 0x55e60cd61bf8
&b[11], 0x55e60cd61c88
&c[16], 0x55e60cd61d40
&a[0][12], 0x55e60cd61390
&b[12], 0x55e60cd61c90
&a[1][12], 0x55e60cd61420
&b[12], 0x55e60cd61c90
&a[2][12], 0x55e60cd614b0
&b[12], 0x55e60cd61c90
&a[3][12], 0x55e60cd61540
&b[12], 0x55e60cd61c90
&a[4][12], 0x55e60cd615d0
&b[12], 0x55e60cd61c90
&a[5][12], 0x55e60cd61660
&b[12], 0x55e60cd61c90
&a[6][12], 0x55e60cd616f0
&b[12], 0x55e60cd61c90
&a[7][12], 0x55e60cd61780
&b[12], 0x55e60cd61c90
&a[8][12], 0x55e60cd61810
&b[12], 0x55e60cd61c90
&a[9][12], 0x55e60cd618a0
&b[12], 0x55e60cd61c90
&a[10][12], 0x55e60cd61930
&b[12], 0x55e60cd61c90
&a[11][12], 0x55e60cd619c0
&b[12], 0x55e60cd61c90
&a[12][12], 0x55e60cd61a50
&b[12], 0x55e60cd61c90
&a[13][12], 0x55e60cd61ae0
&b[12], 0x55e60cd61c90
&a[14][12], 0x55e60cd61b70
&b[12], 0x55e60cd61c90
&a[15][12], 0x55e60cd61c00
&b[12], 0x55e60cd61c90
&c[16], 0x55e60cd61d40
&a[0][13], 0x55e60cd61398
&b[13], 0x55e60cd61c98
&a[1][13], 0x55e60cd61428
&b[13], 0x55e60cd61c98
&a[2][13], 0x55e60cd614b8
&b[13], 0x55e60cd61c98
&a[3][13], 0x55e60cd61548
&b[13], 0x55e60cd61c98
&a[4][13], 0x55e60cd615d8
&b[13], 0x55e60cd61c98
&a[5][13], 0x55e60cd61668
&b[13], 0x55e60cd61c98
&a[6][13], 0x55e60cd616f8
&b[13], 0x55e60cd61c98
&a[7][13], 0x55e60cd61788
&b[13], 0x55e60cd61c98
&a[8][13], 0x55e60cd61818
&b[13], 0x55e60cd61c98
&a[9][13], 0x55e60cd618a8
&b[13], 0x55e60cd61c98
&a[10][13], 0x55e60cd61938
&b[13], 0x55e60cd61c98
&a[11][13], 0x55e60cd619c8
&b[13], 0x55e60cd61c98
&a[12][13], 0x55e60cd61a58
&b[13], 0x55e60cd61c98
&a[13][13], 0x55e60cd61ae8
&b[13], 0x55e60cd61c98
&a[14][13], 0x55e60cd61b78
&b[13], 0x55e60cd61c98
&a[15][13], 0x55e60cd61c08
&b[13], 0x55e60cd61c98
&c[16], 0x55e60cd61d40
&a[0][14], 0x55e60cd613a0
&b[14], 0x55e60cd61ca0
&a[1][14], 0x55e60cd61430
&b[14], 0x55e60cd61ca0
&a[2][14], 0x55e60cd614c0
&b[14], 0x55e60cd61ca0
&a[3][14], 0x55e60cd61550
&b[14], 0x55e60cd61ca0
&a[4][14], 0x55e60cd615e0
&b[14], 0x55e60cd61ca0
&a[5][14], 0x55e60cd61670
&b[14], 0x55e60cd61ca0
&a[6][14], 0x55e60cd61700
&b[14], 0x55e60cd61ca0
&a[7][14], 0x55e60cd61790
&b[14], 0x55e60cd61ca0
&a[8][14], 0x55e60cd61820
&b[14], 0x55e60cd61ca0
&a[9][14], 0x55e60cd618b0
&b[14], 0x55e60cd61ca0
&a[10][14], 0x55e60cd61940
&b[14], 0x55e60cd61ca0
&a[11][14], 0x55e60cd619d0
&b[14], 0x55e60cd61ca0
&a[12][14], 0x55e60cd61a60
&b[14], 0x55e60cd61ca0
&a[13][14], 0x55e60cd61af0
&b[14], 0x55e60cd61ca0
&a[14][14], 0x55e60cd61b80
&b[14], 0x55e60cd61ca0
&a[15][14], 0x55e60cd61c10
&b[14], 0x55e60cd61ca0
&c[16], 0x55e60cd61d40
&a[0][15], 0x55e60cd613a8
&b[15], 0x55e60cd61ca8
&a[1][15], 0x55e60cd61438
&b[15], 0x55e60cd61ca8
&a[2][15], 0x55e60cd614c8
&b[15], 0x55e60cd61ca8
&a[3][15], 0x55e60cd61558
&b[15], 0x55e60cd61ca8
&a[4][15], 0x55e60cd615e8
&b[15], 0x55e60cd61ca8
&a[5][15], 0x55e60cd61678
&b[15], 0x55e60cd61ca8
&a[6][15], 0x55e60cd61708
&b[15], 0x55e60cd61ca8
&a[7][15], 0x55e60cd61798
&b[15], 0x55e60cd61ca8
&a[8][15], 0x55e60cd61828
&b[15], 0x55e60cd61ca8
&a[9][15], 0x55e60cd618b8
&b[15], 0x55e60cd61ca8
&a[10][15], 0x55e60cd61948
&b[15], 0x55e60cd61ca8
&a[11][15], 0x55e60cd619d8
&b[15], 0x55e60cd61ca8
&a[12][15], 0x55e60cd61a68
&b[15], 0x55e60cd61ca8
&a[13][15], 0x55e60cd61af8
&b[15], 0x55e60cd61ca8
&a[14][15], 0x55e60cd61b88
&b[15], 0x55e60cd61ca8
&a[15][15], 0x55e60cd61c18
&b[15], 0x55e60cd61ca8
&c[16], 0x55e60cd61d40
0.000000,0
