&a[0][0], 0x55e60cd61330
&a[0][0], 0x558c21bf2330
&b[0], 0x558c21bf2c30
&a[1][0], 0x558c21bf23c0
&b[0], 0x558c21bf2c30
&a[2][0], 0x558c21bf2450
&b[0], 0x558c21bf2c30
&a[3][0], 0x558c21bf24e0
&b[0], 0x558c21bf2c30
&a[4][0], 0x558c21bf2570
&b[0], 0x558c21bf2c30
&a[5][0], 0x558c21bf2600
&b[0], 0x558c21bf2c30
&a[6][0], 0x558c21bf2690
&b[0], 0x558c21bf2c30
&a[7][0], 0x558c21bf2720
&b[0], 0x558c21bf2c30
&a[8][0], 0x558c21bf27b0
&b[0], 0x558c21bf2c30
&a[9][0], 0x558c21bf2840
&b[0], 0x558c21bf2c30
&a[10][0], 0x558c21bf28d0
&b[0], 0x558c21bf2c30
&a[11][0], 0x558c21bf2960
&b[0], 0x558c21bf2c30
&a[12][0], 0x558c21bf29f0
&b[0], 0x558c21bf2c30
&a[13][0], 0x558c21bf2a80
&b[0], 0x558c21bf2c30
&a[14][0], 0x558c21bf2b10
&b[0], 0x558c21bf2c30
&a[15][0], 0x558c21bf2ba0
&b[0], 0x558c21bf2c30
&c[16], 0x558c21bf2d40
&a[0][1], 0x558c21bf2338
&b[1], 0x558c21bf2c38
&a[1][1], 0x558c21bf23c8
&b[1], 0x558c21bf2c38
&a[2][1], 0x558c21bf2458
&b[1], 0x558c21bf2c38
&a[3][1], 0x558c21bf24e8
&b[1], 0x558c21bf2c38
&a[4][1], 0x558c21bf2578
&b[1], 0x558c21bf2c38
&a[5][1], 0x558c21bf2608
&b[1], 0x558c21bf2c38
&a[6][1], 0x558c21bf2698
&b[1], 0x558c21bf2c38
&a[7][1], 0x558c21bf2728
&b[1], 0x558c21bf2c38
&a[8][1], 0x558c21bf27b8
&b[1], 0x558c21bf2c38
&a[9][1], 0x558c21bf2848
&b[1], 0x558c21bf2c38
&a[10][1], 0x558c21bf28d8
&b[1], 0x558c21bf2c38
&a[11][1], 0x558c21bf2968
&b[1], 0x558c21bf2c38
&a[12][1], 0x558c21bf29f8
&b[1], 0x558c21bf2c38
&a[13][1], 0x558c21bf2a88
&b[1], 0x558c21bf2c38
&a[14][1], 0x558c21bf2b18
&b[1], 0x558c21bf2c38
&a[15][1], 0x558c21bf2ba8
&b[1], 0x558c21bf2c38
&c[16], 0x558c21bf2d40
&a[0][2], 0x558c21bf2340
&b[2], 0x558c21bf2c40
&a[1][2], 0x558c21bf23d0
&b[2], 0x558c21bf2c40
&a[2][2], 0x558c21bf2460
&b[2], 0x558c21bf2c40
&a[3][2], 0x558c21bf24f0
&b[2], 0x558c21bf2c40
&a[4][2], 0x558c21bf2580
&b[2], 0x558c21bf2c40
&a[5][2], 0x558c21bf2610
&b[2], 0x558c21bf2c40
&a[6][2], 0x558c21bf26a0
&b[2], 0x558c21bf2c40
&a[7][2], 0x558c21bf2730
&b[2], 0x558c21bf2c40
&a[8][2], 0x558c21bf27c0
&b[2], 0x558c21bf2c40
&a[9][2], 0x558c21bf2850
&b[2], 0x558c21bf2c40
&a[10][2], 0x558c21bf28e0
&b[2], 0x558c21bf2c40
&a[11][2], 0x558c21bf2970
&b[2], 0x558c21bf2c40
&a[12][2], 0x558c21bf2a00
&b[2], 0x558c21bf2c40
&a[13][2], 0x558c21bf2a90
&b[2], 0x558c21bf2c40
&a[14][2], 0x558c21bf2b20
&b[2], 0x558c21bf2c40
&a[15][2], 0x558c21bf2bb0
&b[2], 0x558c21bf2c40
&c[16], 0x558c21bf2d40
&a[0][3], 0x558c21bf2348
&b[3], 0x558c21bf2c48
&a[1][3], 0x558c21bf23d8
&b[3], 0x558c21bf2c48
&a[2][3], 0x558c21bf2468
&b[3], 0x558c21bf2c48
&a[3][3], 0x558c21bf24f8
&b[3], 0x558c21bf2c48
&a[4][3], 0x558c21bf2588
&b[3], 0x558c21bf2c48
&a[5][3], 0x558c21bf2618
&b[3], 0x558c21bf2c48
&a[6][3], 0x558c21bf26a8
&b[3], 0x558c21bf2c48
&a[7][3], 0x558c21bf2738
&b[3], 0x558c21bf2c48
&a[8][3], 0x558c21bf27c8
&b[3], 0x558c21bf2c48
&a[9][3], 0x558c21bf2858
&b[3], 0x558c21bf2c48
&a[10][3], 0x558c21bf28e8
&b[3], 0x558c21bf2c48
&a[11][3], 0x558c21bf2978
&b[3], 0x558c21bf2c48
&a[12][3], 0x558c21bf2a08
&b[3], 0x558c21bf2c48
&a[13][3], 0x558c21bf2a98
&b[3], 0x558c21bf2c48
&a[14][3], 0x558c21bf2b28
&b[3], 0x558c21bf2c48
&a[15][3], 0x558c21bf2bb8
&b[3], 0x558c21bf2c48
&c[16], 0x558c21bf2d40
&a[0][4], 0x558c21bf2350
&b[4], 0x558c21bf2c50
&a[1][4], 0x558c21bf23e0
&b[4], 0x558c21bf2c50
&a[2][4], 0x558c21bf2470
&b[4], 0x558c21bf2c50
&a[3][4], 0x558c21bf2500
&b[4], 0x558c21bf2c50
&a[4][4], 0x558c21bf2590
&b[4], 0x558c21bf2c50
&a[5][4], 0x558c21bf2620
&b[4], 0x558c21bf2c50
&a[6][4], 0x558c21bf26b0
&b[4], 0x558c21bf2c50
&a[7][4], 0x558c21bf2740
&b[4], 0x558c21bf2c50
&a[8][4], 0x558c21bf27d0
&b[4], 0x558c21bf2c50
&a[9][4], 0x558c21bf2860
&b[4], 0x558c21bf2c50
&a[10][4], 0x558c21bf28f0
&b[4], 0x558c21bf2c50
&a[11][4], 0x558c21bf2980
&b[4], 0x558c21bf2c50
&a[12][4], 0x558c21bf2a10
&b[4], 0x558c21bf2c50
&a[13][4], 0x558c21bf2aa0
&b[4], 0x558c21bf2c50
&a[14][4], 0x558c21bf2b30
&b[4], 0x558c21bf2c50
&a[15][4], 0x558c21bf2bc0
&b[4], 0x558c21bf2c50
&c[16], 0x558c21bf2d40
&a[0][5], 0x558c21bf2358
&b[5], 0x558c21bf2c58
&a[1][5], 0x558c21bf23e8
&b[5], 0x558c21bf2c58
&a[2][5], 0x558c21bf2478
&b[5], 0x558c21bf2c58
&a[3][5], 0x558c21bf2508
&b[5], 0x558c21bf2c58
&a[4][5], 0x558c21bf2598
&b[5], 0x558c21bf2c58
&a[5][5], 0x558c21bf2628
&b[5], 0x558c21bf2c58
&a[6][5], 0x558c21bf26b8
&b[5], 0x558c21bf2c58
&a[7][5], 0x558c21bf2748
&b[5], 0x558c21bf2c58
&a[8][5], 0x558c21bf27d8
&b[5], 0x558c21bf2c58
&a[9][5], 0x558c21bf2868
&b[5], 0x558c21bf2c58
&a[10][5], 0x558c21bf28f8
&b[5], 0x558c21bf2c58
&a[11][5], 0x558c21bf2988
&b[5], 0x558c21bf2c58
&a[12][5], 0x558c21bf2a18
&b[5], 0x558c21bf2c58
&a[13][5], 0x558c21bf2aa8
&b[5], 0x558c21bf2c58
&a[14][5], 0x558c21bf2b38
&b[5], 0x558c21bf2c58
&a[15][5], 0x558c21bf2bc8
&b[5], 0x558c21bf2c58
&c[16], 0x558c21bf2d40
&a[0][6], 0x558c21bf2360
&b[6], 0x558c21bf2c60
&a[1][6], 0x558c21bf23f0
&b[6], 0x558c21bf2c60
&a[2][6], 0x558c21bf2480
&b[6], 0x558c21bf2c60
&a[3][6], 0x558c21bf2510
&b[6], 0x558c21bf2c60
&a[4][6], 0x558c21bf25a0
&b[6], 0x558c21bf2c60
&a[5][6], 0x558c21bf2630
&b[6], 0x558c21bf2c60
&a[6][6], 0x558c21bf26c0
&b[6], 0x558c21bf2c60
&a[7][6], 0x558c21bf2750
&b[6], 0x558c21bf2c60
&a[8][6], 0x558c21bf27e0
&b[6], 0x558c21bf2c60
&a[9][6], 0x558c21bf2870
&b[6], 0x558c21bf2c60
&a[10][6], 0x558c21bf2900
&b[6], 0x558c21bf2c60
&a[11][6], 0x558c21bf2990
&b[6], 0x558c21bf2c60
&a[12][6], 0x558c21bf2a20
&b[6], 0x558c21bf2c60
&a[13][6], 0x558c21bf2ab0
&b[6], 0x558c21bf2c60
&a[14][6], 0x558c21bf2b40
&b[6], 0x558c21bf2c60
&a[15][6], 0x558c21bf2bd0
&b[6], 0x558c21bf2c60
&c[16], 0x558c21bf2d40
&a[0][7], 0x558c21bf2368
&b[7], 0x558c21bf2c68
&a[1][7], 0x558c21bf23f8
&b[7], 0x558c21bf2c68
&a[2][7], 0x558c21bf2488
&b[7], 0x558c21bf2c68
&a[3][7], 0x558c21bf2518
&b[7], 0x558c21bf2c68
&a[4][7], 0x558c21bf25a8
&b[7], 0x558c21bf2c68
&a[5][7], 0x558c21bf2638
&b[7], 0x558c21bf2c68
&a[6][7], 0x558c21bf26c8
&b[7], 0x558c21bf2c68
&a[7][7], 0x558c21bf2758
&b[7], 0x558c21bf2c68
&a[8][7], 0x558c21bf27e8
&b[7], 0x558c21bf2c68
&a[9][7], 0x558c21bf2878
&b[7], 0x558c21bf2c68
&a[10][7], 0x558c21bf2908
&b[7], 0x558c21bf2c68
&a[11][7], 0x558c21bf2998
&b[7], 0x558c21bf2c68
&a[12][7], 0x558c21bf2a28
&b[7], 0x558c21bf2c68
&a[13][7], 0x558c21bf2ab8
&b[7], 0x558c21bf2c68
&a[14][7], 0x558c21bf2b48
&b[7], 0x558c21bf2c68
&a[15][7], 0x558c21bf2bd8
&b[7], 0x558c21bf2c68
&c[16], 0x558c21bf2d40
&a[0][8], 0x558c21bf2370
&b[8], 0x558c21bf2c70
&a[1][8], 0x558c21bf2400
&b[8], 0x558c21bf2c70
&a[2][8], 0x558c21bf2490
&b[8], 0x558c21bf2c70
&a[3][8], 0x558c21bf2520
&b[8], 0x558c21bf2c70
&a[4][8], 0x558c21bf25b0
&b[8], 0x558c21bf2c70
&a[5][8], 0x558c21bf2640
&b[8], 0x558c21bf2c70
&a[6][8], 0x558c21bf26d0
&b[8], 0x558c21bf2c70
&a[7][8], 0x558c21bf2760
&b[8], 0x558c21bf2c70
&a[8][8], 0x558c21bf27f0
&b[8], 0x558c21bf2c70
&a[9][8], 0x558c21bf2880
&b[8], 0x558c21bf2c70
&a[10][8], 0x558c21bf2910
&b[8], 0x558c21bf2c70
&a[11][8], 0x558c21bf29a0
&b[8], 0x558c21bf2c70
&a[12][8], 0x558c21bf2a30
&b[8], 0x558c21bf2c70
&a[13][8], 0x558c21bf2ac0
&b[8], 0x558c21bf2c70
&a[14][8], 0x558c21bf2b50
&b[8], 0x558c21bf2c70
&a[15][8], 0x558c21bf2be0
&b[8], 0x558c21bf2c70
&c[16], 0x558c21bf2d40
&a[0][9], 0x558c21bf2378
&b[9], 0x558c21bf2c78
&a[1][9], 0x558c21bf2408
&b[9], 0x558c21bf2c78
&a[2][9], 0x558c21bf2498
&b[9], 0x558c21bf2c78
&a[3][9], 0x558c21bf2528
&b[9], 0x558c21bf2c78
&a[4][9], 0x558c21bf25b8
&b[9], 0x558c21bf2c78
&a[5][9], 0x558c21bf2648
&b[9], 0x558c21bf2c78
&a[6][9], 0x558c21bf26d8
&b[9], 0x558c21bf2c78
&a[7][9], 0x558c21bf2768
&b[9], 0x558c21bf2c78
&a[8][9], 0x558c21bf27f8
&b[9], 0x558c21bf2c78
&a[9][9], 0x558c21bf2888
&b[9], 0x558c21bf2c78
&a[10][9], 0x558c21bf2918
&b[9], 0x558c21bf2c78
&a[11][9], 0x558c21bf29a8
&b[9], 0x558c21bf2c78
&a[12][9], 0x558c21bf2a38
&b[9], 0x558c21bf2c78
&a[13][9], 0x558c21bf2ac8
&b[9], 0x558c21bf2c78
&a[14][9], 0x558c21bf2b58
&b[9], 0x558c21bf2c78
&a[15][9], 0x558c21bf2be8
&b[9], 0x558c21bf2c78
&c[16], 0x558c21bf2d40
&a[0][10], 0x558c21bf2380
&b[10], 0x558c21bf2c80
&a[1][10], 0x558c21bf2410
&b[10], 0x558c21bf2c80
&a[2][10], 0x558c21bf24a0
&b[10], 0x558c21bf2c80
&a[3][10], 0x558c21bf2530
&b[10], 0x558c21bf2c80
&a[4][10], 0x558c21bf25c0
&b[10], 0x558c21bf2c80
&a[5][10], 0x558c21bf2650
&b[10], 0x558c21bf2c80
&a[6][10], 0x558c21bf26e0
&b[10], 0x558c21bf2c80
&a[7][10], 0x558c21bf2770
&b[10], 0x558c21bf2c80
&a[8][10], 0x558c21bf2800
&b[10], 0x558c21bf2c80
&a[9][10], 0x558c21bf2890
&b[10], 0x558c21bf2c80
&a[10][10], 0x558c21bf2920
&b[10], 0x558c21bf2c80
&a[11][10], 0x558c21bf29b0
&b[10], 0x558c21bf2c80
&a[12][10], 0x558c21bf2a40
&b[10], 0x558c21bf2c80
&a[13][10], 0x558c21bf2ad0
&b[10], 0x558c21bf2c80
&a[14][10], 0x558c21bf2b60
&b[10], 0x558c21bf2c80
&a[15][10], 0x558c21bf2bf0
&b[10], 0x558c21bf2c80
&c[16], 0x558c21bf2d40
&a[0][11], 0x558c21bf2388
&b[11], 0x558c21bf2c88
&a[1][11], 0x558c21bf2418
&b[11], 0x558c21bf2c88
&a[2][11], 0x558c21bf24a8
&b[11], 0x558c21bf2c88
&a[3][11], 0x558c21bf2538
&b[11], 0x558c21bf2c88
&a[4][11], 0x558c21bf25c8
&b[11], 0x558c21bf2c88
&a[5][11], 0x558c21bf2658
&b[11], 0x558c21bf2c88
&a[6][11], 0x558c21bf26e8
&b[11], 0x558c21bf2c88
&a[7][11], 0x558c21bf2778
&b[11], 0x558c21bf2c88
&a[8][11], 0x558c21bf2808
&b[11], 0x558c21bf2c88
&a[9][11], 0x558c21bf2898
&b[11], 0x558c21bf2c88
&a[10][11], 0x558c21bf2928
&b[11], 0x558c21bf2c88
&a[11][11], 0x558c21bf29b8
&b[11], 0x558c21bf2c88
&a[12][11], 0x558c21bf2a48
&b[11], 0x558c21bf2c88
&a[13][11], 0x558c21bf2ad8
&b[11], 0x558c21bf2c88
&a[14][11], 0x558c21bf2b68
&b[11], 0x558c21bf2c88
&a[15][11], 0x558c21bf2bf8
&b[11], 0x558c21bf2c88
&c[16], 0x558c21bf2d40
&a[0][12], 0x558c21bf2390
&b[12], 0x558c21bf2c90
&a[1][12], 0x558c21bf2420
&b[12], 0x558c21bf2c90
&a[2][12], 0x558c21bf24b0
&b[12], 0x558c21bf2c90
&a[3][12], 0x558c21bf2540
&b[12], 0x558c21bf2c90
&a[4][12], 0x558c21bf25d0
&b[12], 0x558c21bf2c90
&a[5][12], 0x558c21bf2660
&b[12], 0x558c21bf2c90
&a[6][12], 0x558c21bf26f0
&b[12], 0x558c21bf2c90
&a[7][12], 0x558c21bf2780
&b[12], 0x558c21bf2c90
&a[8][12], 0x558c21bf2810
&b[12], 0x558c21bf2c90
&a[9][12], 0x558c21bf28a0
&b[12], 0x558c21bf2c90
&a[10][12], 0x558c21bf2930
&b[12], 0x558c21bf2c90
&a[11][12], 0x558c21bf29c0
&b[12], 0x558c21bf2c90
&a[12][12], 0x558c21bf2a50
&b[12], 0x558c21bf2c90
&a[13][12], 0x558c21bf2ae0
&b[12], 0x558c21bf2c90
&a[14][12], 0x558c21bf2b70
&b[12], 0x558c21bf2c90
&a[15][12], 0x558c21bf2c00
&b[12], 0x558c21bf2c90
&c[16], 0x558c21bf2d40
&a[0][13], 0x558c21bf2398
&b[13], 0x558c21bf2c98
&a[1][13], 0x558c21bf2428
&b[13], 0x558c21bf2c98
&a[2][13], 0x558c21bf24b8
&b[13], 0x558c21bf2c98
&a[3][13], 0x558c21bf2548
&b[13], 0x558c21bf2c98
&a[4][13], 0x558c21bf25d8
&b[13], 0x558c21bf2c98
&a[5][13], 0x558c21bf2668
&b[13], 0x558c21bf2c98
&a[6][13], 0x558c21bf26f8
&b[13], 0x558c21bf2c98
&a[7][13], 0x558c21bf2788
&b[13], 0x558c21bf2c98
&a[8][13], 0x558c21bf2818
&b[13], 0x558c21bf2c98
&a[9][13], 0x558c21bf28a8
&b[13], 0x558c21bf2c98
&a[10][13], 0x558c21bf2938
&b[13], 0x558c21bf2c98
&a[11][13], 0x558c21bf29c8
&b[13], 0x558c21bf2c98
&a[12][13], 0x558c21bf2a58
&b[13], 0x558c21bf2c98
&a[13][13], 0x558c21bf2ae8
&b[13], 0x558c21bf2c98
&a[14][13], 0x558c21bf2b78
&b[13], 0x558c21bf2c98
&a[15][13], 0x558c21bf2c08
&b[13], 0x558c21bf2c98
&c[16], 0x558c21bf2d40
&a[0][14], 0x558c21bf23a0
&b[14], 0x558c21bf2ca0
&a[1][14], 0x558c21bf2430
&b[14], 0x558c21bf2ca0
&a[2][14], 0x558c21bf24c0
&b[14], 0x558c21bf2ca0
&a[3][14], 0x558c21bf2550
&b[14], 0x558c21bf2ca0
&a[4][14], 0x558c21bf25e0
&b[14], 0x558c21bf2ca0
&a[5][14], 0x558c21bf2670
&b[14], 0x558c21bf2ca0
&a[6][14], 0x558c21bf2700
&b[14], 0x558c21bf2ca0
&a[7][14], 0x558c21bf2790
&b[14], 0x558c21bf2ca0
&a[8][14], 0x558c21bf2820
&b[14], 0x558c21bf2ca0
&a[9][14], 0x558c21bf28b0
&b[14], 0x558c21bf2ca0
&a[10][14], 0x558c21bf2940
&b[14], 0x558c21bf2ca0
&a[11][14], 0x558c21bf29d0
&b[14], 0x558c21bf2ca0
&a[12][14], 0x558c21bf2a60
&b[14], 0x558c21bf2ca0
&a[13][14], 0x558c21bf2af0
&b[14], 0x558c21bf2ca0
&a[14][14], 0x558c21bf2b80
&b[14], 0x558c21bf2ca0
&a[15][14], 0x558c21bf2c10
&b[14], 0x558c21bf2ca0
&c[16], 0x558c21bf2d40
&a[0][15], 0x558c21bf23a8
&b[15], 0x558c21bf2ca8
&a[1][15], 0x558c21bf2438
&b[15], 0x558c21bf2ca8
&a[2][15], 0x558c21bf24c8
&b[15], 0x558c21bf2ca8
&a[3][15], 0x558c21bf2558
&b[15], 0x558c21bf2ca8
&a[4][15], 0x558c21bf25e8
&b[15], 0x558c21bf2ca8
&a[5][15], 0x558c21bf2678
&b[15], 0x558c21bf2ca8
&a[6][15], 0x558c21bf2708
&b[15], 0x558c21bf2ca8
&a[7][15], 0x558c21bf2798
&b[15], 0x558c21bf2ca8
&a[8][15], 0x558c21bf2828
&b[15], 0x558c21bf2ca8
&a[9][15], 0x558c21bf28b8
&b[15], 0x558c21bf2ca8
&a[10][15], 0x558c21bf2948
&b[15], 0x558c21bf2ca8
&a[11][15], 0x558c21bf29d8
&b[15], 0x558c21bf2ca8
&a[12][15], 0x558c21bf2a68
&b[15], 0x558c21bf2ca8
&a[13][15], 0x558c21bf2af8
&b[15], 0x558c21bf2ca8
&a[14][15], 0x558c21bf2b88
&b[15], 0x558c21bf2ca8
&a[15][15], 0x558c21bf2c18
&b[15], 0x558c21bf2ca8
&c[16], 0x558c21bf2d40
0.000000,0
